	PeakID (cmd=annotatePeaks.pl data/GSM816655_hg19_wgEncodeOpenChromDnaseK562PkV2.narrowPeak hg19 -gtf ref_files/gencode.v41.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
18700	chr2.3657	chr2	101510234	101510725	+	853		promoter-TSS (ENST00000420113.1)	processed_pseudogene-promoter-TSS (ENST00000420113.1)	-257	ENST00000420113.1	ENSG00000237549	ENST00000420113			RPS6P3			processed_pseudogene
18706	chr16.4629	chr16	85995697	85996348	+	853		promoter-TSS (ENST00000644960.1)	lncRNA-promoter-TSS (ENST00000644960.1)	-123	ENST00000644960.1	ENSG00000285012	ENST00000644960			ENSG00000285012			lncRNA
18707	chr19.2073	chr19	12834421	12835094	+	853		promoter-TSS (ENST00000590404.6)	protein_coding-promoter-TSS (ENST00000590404.6)	-178	ENST00000674343.2	ENSG00000132026	ENST00000586969			RTBDN			protein_coding
18716	chr17.828	chr17	15466548	15467297	+	852		intron (ENST00000619038.5, intron 1 of 3)	protein_coding-intron (ENST00000481756.7, intron 4 of 5)	699	ENST00000619038.5	ENSG00000239704	ENST00000520956			CDRT4			protein_coding
18718	chr3.5075	chr3	179615764	179616189	+	852		promoter-TSS (ENST00000471112.1)	protein_coding-promoter-TSS (ENST00000471112.1)	-31	ENST00000471112.1	ENSG00000136521	ENST00000476587			NDUFB5			protein_coding
18719	chr14.233	chr14	23629882	23630835	+	852		intron (ENST00000553896.5, intron 1 of 4)	protein_coding-intron (ENST00000432832.6, intron 1 of 6)	243	ENST00000553896.5	ENSG00000100867	ENST00000250383			DHRS2			protein_coding
18731	chr9.257	chr9	19380027	19380562	+	852		promoter-TSS (ENST00000315377.4)	protein_coding-promoter-TSS (ENST00000315377.4)	-58	ENST00000380381.3	ENSG00000137154	ENST00000498815			RPS6			protein_coding
18732	chr15.941	chr15	45149312	45149762	+	852		promoter-TSS (ENST00000558446.1)	protein_coding-promoter-TSS (ENST00000558446.1)	-763	ENST00000558446.1	ENSG00000137857	ENST00000558744			DUOX1			protein_coding
18741	chr8.2449	chr8	98905346	98905820	+	852		promoter-TSS (ENST00000522128.1)	processed_pseudogene-promoter-TSS (ENST00000522128.1)	88	ENST00000522128.1	ENSG00000253415	ENST00000522128			ENSG00000253415			processed_pseudogene
18742	chr6.2010	chr6	33783587	33784043	+	852		intron (ENST00000442696.6, intron 1 of 4)	protein_coding-intron (ENST00000293760.10, intron 3 of 8)	825	ENST00000514636.1	ENSG00000161904	ENST00000442696			LEMD2			protein_coding
18744	chr19.741	chr19	3270811	3271434	+	852		intron (ENST00000589370.1, intron 1 of 6)	protein_coding-intron (ENST00000292672.7, intron 2 of 12)	501	ENST00000589370.1	ENSG00000161082	ENST00000586050			CELF5			protein_coding
18747	chr15.2220	chr15	74614782	74615448	+	852		promoter-TSS (ENST00000395066.9)	protein_coding-promoter-TSS (ENST00000395066.9)	286	ENST00000562389.5	ENSG00000179335	ENST00000563112			CLK3			protein_coding
18755	chr3.5831	chr3	196065057	196065701	+	852		intron (ENST00000698296.1, intron 4 of 4)	protein_coding-intron (ENST00000360110.9, intron 10 of 18)	171	ENST00000464368.1	ENSG00000072274	ENST00000464368			TFRC			protein_coding
18761	chr6.1026	chr6	24494498	24496151	+	851		promoter-TSS (ENST00000474784.5)	protein_coding-promoter-TSS (ENST00000474784.5)	88	ENST00000672557.1	ENSG00000112294	ENST00000348925			ALDH5A1			protein_coding
18762	chr16.4246	chr16	84118345	84118815	+	851		promoter-TSS (ENST00000563242.2)	processed_pseudogene-promoter-TSS (ENST00000563242.2)	-713	ENST00000563242.2	ENSG00000260410	ENST00000563242			ENSG00000260410			processed_pseudogene
18763	chr8.1412	chr8	41649556	41650369	+	851		intron (ENST00000518699.4, intron 1 of 2)	protein_coding-intron (ENST00000518699.4, intron 1 of 2)	855	ENST00000518699.4	ENSG00000165066	ENST00000518699			NKX6-3			protein_coding
18767	chr17.6281	chr17	80826436	80827158	+	851		exon (ENST00000655216.1, exon 1 of 2)	lncRNA-exon (ENST00000655216.1, exon 1 of 2)	103	ENST00000655216.1	ENSG00000287403	ENST00000655216			ENSG00000287403			lncRNA
18792	chr2.4134	chr2	113443945	113444526	+	851		exon (ENST00000490323.5, exon 3 of 3)	protein_coding-exon (ENST00000490323.5, exon 3 of 3)	473	ENST00000490446.1	ENSG00000136682	ENST00000358604			CBWD2			protein_coding
18793	chr2.3592	chr2	99185591	99186144	+	851		promoter-TSS (ENST00000409841.1)	protein_coding-promoter-TSS (ENST00000409841.1)	-309	ENST00000409841.1	ENSG00000185414	ENST00000465432			MRPL30			protein_coding
18794	chr1.3761	chr1	26647867	26648473	+	851		TTS (ENST00000443847.2)	processed_pseudogene-TTS (ENST00000443847.2)	723	ENST00000443847.2	ENSG00000235069	ENST00000443847			ENSG00000235069			processed_pseudogene
18796	chr2.1843	chr2	46542220	46542928	+	851		promoter-TSS (ENST00000238738.9)	protein_coding-promoter-TSS (ENST00000238738.9)	3	ENST00000522587.6	ENSG00000250565	ENST00000522219			ATP6V1E2			protein_coding
18829	chr2.4297	chr2	119933051	119933601	+	850		intron (ENST00000488896.1, intron 1 of 1)	protein_coding-intron (ENST00000263708.7, intron 14 of 26)	850	ENST00000431283.1	ENSG00000088179	ENST00000420482			PTPN4			protein_coding
18830	chr11.4591	chr11	78128619	78129294	+	850		promoter-TSS (ENST00000679581.1)	protein_coding-promoter-TSS (ENST00000679581.1)	260	ENST00000680499.1	ENSG00000159063	ENST00000615266			ALG8			protein_coding
18839	chr11.106	chr11	690926	691423	+	850		intron (ENST00000529727.1, intron 1 of 1)	protein_coding-intron (ENST00000382409.4, intron 2 of 11)	423	ENST00000529727.1	ENSG00000177030	ENST00000526857			DEAF1			protein_coding
18848	chr12.1259	chr12	47786775	47787260	+	850		promoter-TSS (ENST00000547259.1)	protein_coding-promoter-TSS (ENST00000547259.1)	-350	ENST00000547259.1	ENSG00000061273	ENST00000417902			HDAC7			protein_coding
18849	chr16.696	chr16	2976927	2977521	+	850		exon (ENST00000382240.9, exon 1 of 8)	protein_coding-exon (ENST00000382240.9, exon 1 of 8)	302	ENST00000382240.9	ENSG00000127564	ENST00000571102			PKMYT1			protein_coding
18850	chr9.3472	chr9	134164791	134165426	+	850		promoter-TSS (ENST00000408749.1)	snRNA-promoter-TSS (ENST00000408749.1)	-544	ENST00000408749.1	ENSG00000221676	ENST00000408749			RNU6ATAC			snRNA
18855	chr16.2097	chr16	28505338	28506682	+	850		intron (ENST00000568075.1, intron 1 of 3)	protein_coding-intron (ENST00000356897.1, intron 1 of 4)	824	ENST00000356897.1	ENSG00000197272	ENST00000568075			IL27			protein_coding
18858	chr1.5563	chr1	44047769	44048402	+	850		promoter-TSS (ENST00000431800.2)	lncRNA-promoter-TSS (ENST00000431800.2)	138	ENST00000656061.1	ENSG00000230615	ENST00000616338			ENSG00000230615			lncRNA
18867	chr1.9253	chr1	157280885	157282542	+	850		intron (ENST00000662968.1, intron 2 of 2)	lncRNA-intron (ENST00000607010.1, intron 1 of 1)	997	ENST00000607010.1	ENSG00000271736	ENST00000662441			LINC02772			lncRNA
18879	chr9.370	chr9	33719614	33720478	+	849		intron (ENST00000449144.1, intron 1 of 1)	lncRNA-intron (ENST00000449144.1, intron 1 of 1)	356	ENST00000449144.1	ENSG00000227301	ENST00000449144			ENSG00000227301			lncRNA
18880	chr3.891	chr3	14962312	14963105	+	849		intron (ENST00000437120.5, intron 1 of 5)	protein_coding-intron (ENST00000323373.10, intron 1 of 14)	299	ENST00000437120.5	ENSG00000177463	ENST00000475707			NR2C2			protein_coding
18882	chr14.2619	chr14	105242092	105242635	+	849		exon (ENST00000549655.5, exon 1 of 6)	protein_coding-intron (ENST00000552127.5, intron 1 of 6)	242	ENST00000549655.5	ENSG00000185024	ENST00000446501			BRF1			protein_coding
18883	chr10.2484	chr10	73528585	73529017	+	849		TTS (ENST00000384597.1)	snRNA-TTS (ENST00000384597.1)	356	ENST00000384597.1	ENSG00000207327	ENST00000384597			RNU6-883P			snRNA
18892	chr12.299	chr12	6476802	6477766	+	849		promoter-TSS (ENST00000541242.1)	processed_pseudogene-promoter-TSS (ENST00000541242.1)	-430	ENST00000541242.1	ENSG00000256913	ENST00000541242			ENSG00000256913			processed_pseudogene
18895	chr3.5134	chr3	182880160	182880828	+	849		intron (ENST00000498086.5, intron 14 of 24)	protein_coding-intron (ENST00000323116.10, intron 20 of 29)	955	ENST00000482070.1	ENSG00000058063	ENST00000466758			ATP11B			protein_coding
18899	chr5.1146	chr5	39424654	39425571	+	849		promoter-TSS (ENST00000320816.11)	protein_coding-promoter-TSS (ENST00000320816.11)	121	ENST00000545653.5	ENSG00000153071	ENST00000511792			DAB2			protein_coding
18910	chr10.3817	chr10	103348652	103349134	+	849		promoter-TSS (ENST00000492755.1)	protein_coding-promoter-TSS (ENST00000492755.1)	46	ENST00000492755.1	ENSG00000156374	ENST00000490296			PCGF6			protein_coding
18914	chr8.3694	chr8	142726035	142726608	+	849		promoter-TSS (ENST00000336138.4)	protein_coding-promoter-TSS (ENST00000336138.4)	561	ENST00000665898.1	ENSG00000253741	ENST00000654797			LNCOC1			lncRNA
18930	chr19.5843	chr19	52111156	52111640	+	848		promoter-TSS (ENST00000603942.1)	processed_pseudogene-promoter-TSS (ENST00000603942.1)	-672	ENST00000603942.1	ENSG00000270248	ENST00000603942			ENSG00000270248			processed_pseudogene
18936	chr19.4139	chr19	40511688	40512615	+	848		promoter-TSS (ENST00000597389.5)	protein_coding-promoter-TSS (ENST00000597389.5)	-463	ENST00000597389.5	ENSG00000160460	ENST00000595535			SPTBN4			protein_coding
18945	chr6.6093	chr6	170404638	170405269	+	848		exon (ENST00000476287.4, exon 11 of 11)	protein_coding-exon (ENST00000476287.4, exon 11 of 11)	774	ENST00000496635.1	ENSG00000112584	ENST00000625626			FAM120B			protein_coding
18948	chr9.1694	chr9	101613023	101613534	+	848		intron (ENST00000479772.1, intron 1 of 2)	protein_coding-intron (ENST00000361820.6, intron 6 of 8)	244	ENST00000479772.1	ENSG00000198785	ENST00000361820			GRIN3A			protein_coding
18952	chr16.603	chr16	2597652	2598268	+	848		promoter-TSS (ENST00000569721.1)	protein_coding-promoter-TSS (ENST00000569721.1)	-287	ENST00000569721.1	ENSG00000140992	ENST00000478708			PDPK1			protein_coding
18957	chr16.967	chr16	5030174	5030828	+	848		promoter-TSS (ENST00000564397.5)	protein_coding-promoter-TSS (ENST00000564397.5)	150	ENST00000569793.1	ENSG00000103174	ENST00000569296			NAGPA			protein_coding
18962	chr14.38	chr14	21081322	21082225	+	848		exon (ENST00000298694.9, exon 14 of 24)	protein_coding-exon (ENST00000298694.9, exon 14 of 24)	876	ENST00000554514.1	ENSG00000165801	ENST00000557498			ARHGEF40			protein_coding
18965	chr12.2971	chr12	94495687	94496416	+	848		intron (ENST00000549532.1, intron 1 of 1)	lncRNA-intron (ENST00000549532.1, intron 1 of 1)	391	ENST00000549532.1	ENSG00000257400	ENST00000549532			ENSG00000257400			lncRNA
18976	chr17.2096	chr17	36489461	36490085	+	847		exon (ENST00000617922.4, exon 1 of 3)	protein_coding-exon (ENST00000617922.4, exon 1 of 3)	615	ENST00000617922.4	ENSG00000273611	ENST00000612494			ZNHIT3			protein_coding
18995	chr11.3857	chr11	69816123	69817156	+	847		intron (ENST00000334134.4, intron 1 of 2)	protein_coding-intron (ENST00000334134.4, intron 1 of 2)	911	ENST00000646078.1	ENSG00000186895	ENST00000646078			FGF3			protein_coding
19011	chr15.2156	chr15	74072971	74074067	+	847		promoter-TSS (ENST00000479090.3)	misc_RNA-promoter-TSS (ENST00000479090.3)	-506	ENST00000569486.1	ENSG00000159289	ENST00000562157			GOLGA6A			protein_coding
19016	chr9.166	chr9	7798926	7800174	+	847		exon (ENST00000358227.5, exon 1 of 2)	protein_coding-exon (ENST00000358227.5, exon 1 of 2)	228	ENST00000358227.5	ENSG00000137038	ENST00000484082			DMAC1			protein_coding
19017	chr11.5851	chr11	124669287	124670874	+	847		promoter-TSS (ENST00000533613.1)	protein_coding-promoter-TSS (ENST00000533613.1)	-468	ENST00000533613.1	ENSG00000110013	ENST00000618733			SIAE			protein_coding
19038	chr5.2400	chr5	111755400	111756390	+	846		exon (ENST00000447165.6, exon 1 of 3)	protein_coding-intron (ENST00000450761.6, intron 1 of 3)	356	ENST00000504018.1	ENSG00000134986	ENST00000509979			NREP			protein_coding
19040	chr1.5538	chr1	43994741	43995388	+	846		promoter-TSS (ENST00000472562.1)	protein_coding-promoter-TSS (ENST00000472562.1)	-329	ENST00000472562.1	ENSG00000159214	ENST00000479055			CCDC24			protein_coding
19041	chr10.1849	chr10	60059219	60059746	+	846		promoter-TSS (ENST00000612776.4)	protein_coding-promoter-TSS (ENST00000612776.4)	-52	ENST00000612776.4	ENSG00000151150	ENST00000513049			ANK3			protein_coding
19049	chr22.2158	chr22	41107536	41108018	+	846		promoter-TSS (ENST00000637592.1)	protein_coding-promoter-TSS (ENST00000637592.1)	-248	ENST00000637592.1	ENSG00000100393	ENST00000635691			EP300			protein_coding
19051	chr6.615	chr6	12008556	12009718	+	846		TTS (ENST00000437559.1)	lncRNA-TTS (ENST00000437559.1)	375	ENST00000491710.5	ENSG00000095951	ENST00000379388			HIVEP1			protein_coding
19053	chr16.5014	chr16	88625115	88625867	+	846		exon (ENST00000563382.1, exon 2 of 2)	protein_coding-exon (ENST00000563382.1, exon 2 of 2)	803	ENST00000563382.1	ENSG00000158545	ENST00000569435			ZC3H18			protein_coding
19058	chr1.1472	chr1	8849293	8849866	+	845		promoter-TSS (ENST00000656437.1)	protein_coding-promoter-TSS (ENST00000656437.1)	-658	ENST00000656437.1	ENSG00000142599	ENST00000377464			RERE			protein_coding
19068	chr4.352	chr4	2464040	2464891	+	845		TTS (ENST00000502641.1)	lncRNA-TTS (ENST00000502641.1)	668	ENST00000502641.1	ENSG00000248399	ENST00000502641			ENSG00000248399			lncRNA
19087	chr17.2807	chr17	42020900	42021821	+	845		promoter-TSS (ENST00000590348.6)	protein_coding-promoter-TSS (ENST00000590348.6)	-11	ENST00000590348.6	ENSG00000168259	ENST00000590886			DNAJC7			protein_coding
19106	chr1.4312	chr1	31368342	31368955	+	845		intron (ENST00000497275.5, intron 1 of 2)	protein_coding-intron (ENST00000373713.7, intron 2 of 3)	942	ENST00000497275.5	ENSG00000121769	ENST00000497275			FABP3			protein_coding
19115	chr17.1578	chr17	28256487	28257559	+	845		promoter-TSS (ENST00000581722.1)	processed_pseudogene-promoter-TSS (ENST00000581722.1)	-354	ENST00000581722.1	ENSG00000263788	ENST00000581722			ENSG00000263788			processed_pseudogene
19117	chr19.5593	chr19	50860342	50861418	+	844		promoter-TSS (ENST00000593493.5)	protein_coding-promoter-TSS (ENST00000593493.5)	-688	ENST00000593493.5	ENSG00000167751	ENST00000391810			KLK2			protein_coding
19119	chr3.3976	chr3	133662297	133662967	+	844		promoter-TSS (ENST00000260810.10)	protein_coding-promoter-TSS (ENST00000260810.10)	-252	ENST00000642236.1	ENSG00000163781	ENST00000511439			TOPBP1			protein_coding
19121	chr12.3571	chr12	110290797	110291307	+	844		promoter-TSS (ENST00000548169.2)	protein_coding-promoter-TSS (ENST00000548169.2)	-997	ENST00000548169.2	ENSG00000174437	ENST00000552636			ATP2A2			protein_coding
19125	chr1.579	chr1	2480136	2480667	+	844		TTS (ENST00000609981.5)	protein_coding-TTS (ENST00000609981.5)	513	ENST00000278878.6	ENSG00000149527	ENST00000343889			PLCH2			protein_coding
19132	chr1.4932	chr1	37952846	37953393	+	844		promoter-TSS (ENST00000616313.1)	misc_RNA-promoter-TSS (ENST00000616313.1)	-389	ENST00000616313.1	ENSG00000277168	ENST00000616313			Metazoa_SRP			misc_RNA
19147	chr6.1392	chr6	28784440	28785372	+	844		promoter-TSS (ENST00000440030.1)	processed_pseudogene-promoter-TSS (ENST00000440030.1)	-902	ENST00000440030.1	ENSG00000235559	ENST00000440030			NOP56P1			processed_pseudogene
19163	chr6.422	chr6	6759279	6759938	+	843		promoter-TSS (ENST00000435429.2)	lncRNA-promoter-TSS (ENST00000435429.2)	-317	ENST00000435429.2	ENSG00000224532	ENST00000435429			ENSG00000224532			lncRNA
19166	chr11.5536	chr11	118788919	118791060	+	843		exon (ENST00000531971.1, exon 1 of 2)	protein_coding-exon (ENST00000531971.1, exon 1 of 2)	370	ENST00000531971.1	ENSG00000110367	ENST00000620157			DDX6			protein_coding
19176	chr9.484	chr9	35489427	35490520	+	843		promoter-TSS (ENST00000361226.8)	protein_coding-promoter-TSS (ENST00000361226.8)	-138	ENST00000361226.8	ENSG00000198853	ENST00000455600			RUSC2			protein_coding
19186	chr1.8652	chr1	152842269	152842710	+	843		promoter-TSS (ENST00000431011.3)	protein_coding-promoter-TSS (ENST00000431011.3)	-367	ENST00000431011.3	ENSG00000235942	ENST00000431011			LCE6A			protein_coding
19189	chr17.3093	chr17	43909479	43910061	+	843		promoter-TSS (ENST00000518766.5)	protein_coding-promoter-TSS (ENST00000518766.5)	-59	ENST00000622681.4	ENSG00000108852	ENST00000522172			MPP2			protein_coding
19197	chr22.662	chr22	22697111	22697664	+	843		promoter-TSS (ENST00000390306.2)	IG_V_gene-promoter-TSS (ENST00000390306.2)	-402	ENST00000390306.2	ENSG00000211660	ENST00000390306			IGLV2-23			IG_V_gene
19208	chr19.4234	chr19	41193350	41193889	+	843		promoter-TSS (ENST00000595590.1)	protein_coding-promoter-TSS (ENST00000595590.1)	-103	ENST00000595590.1	ENSG00000167600	ENST00000593545			CYP2S1			protein_coding
19211	chr5.2393	chr5	111092829	111093691	+	842		intron (ENST00000515784.1, intron 1 of 1)	protein_coding-intron (ENST00000505303.5, intron 1 of 14)	912	ENST00000513710.4	ENSG00000134987	ENST00000504122			WDR36			protein_coding
19220	chr15.790	chr15	42426056	42426517	+	842		promoter-TSS (ENST00000570078.1)	protein_coding-promoter-TSS (ENST00000570078.1)	-505	ENST00000570078.1	ENSG00000103994	ENST00000564754			ZNF106			protein_coding
19223	chr11.778	chr11	5226007	5226467	+	842		promoter-TSS (ENST00000644706.1)	TEC-promoter-TSS (ENST00000644706.1)	586	ENST00000475226.1	ENSG00000244734	ENST00000380315			HBB			protein_coding
19224	chr6.513	chr6	7899205	7900410	+	842		exon (ENST00000469459.1, exon 1 of 2)	protein_coding-exon (ENST00000469459.1, exon 1 of 2)	435	ENST00000469459.1	ENSG00000239264	ENST00000469459			TXNDC5			protein_coding
19233	chr1.1955	chr1	12091196	12091759	+	842		intron (ENST00000647616.1, intron 1 of 3)	protein_coding-intron (ENST00000263932.7, intron 2 of 14)	787	ENST00000647616.1	ENSG00000285604	ENST00000647616			ENSG00000285604			lncRNA
19234	chrX.869	chrX	47467783	47468334	+	842		promoter-TSS (ENST00000432977.1)	protein_coding-promoter-TSS (ENST00000432977.1)	-510	ENST00000432977.1	ENSG00000147124	ENST00000465311			ZNF41			protein_coding
19241	chr1.4554	chr1	33335862	33338713	+	842		promoter-TSS (ENST00000410180.1)	misc_RNA-promoter-TSS (ENST00000410180.1)	-423	ENST00000410180.1	ENSG00000222112	ENST00000410180			RN7SKP16			misc_RNA
19244	chr18.168	chr18	5196871	5197429	+	842		promoter-TSS (ENST00000649240.1)	lncRNA-promoter-TSS (ENST00000649240.1)	-15	ENST00000649240.1	ENSG00000285575	ENST00000649240			ENSG00000285575			lncRNA
19246	chr1.10950	chr1	204146198	204146739	+	842		intron (ENST00000444817.1, intron 1 of 3)	protein_coding-intron (ENST00000367201.7, intron 3 of 7)	492	ENST00000452983.5	ENSG00000143845	ENST00000367201			ETNK2			protein_coding
19248	chr2.7028	chr2	233386691	233387279	+	842		intron (ENST00000489613.1, intron 1 of 1)	protein_coding-intron (ENST00000264057.7, intron 1 of 29)	931	ENST00000489613.1	ENSG00000077044	ENST00000409813			DGKD			protein_coding
19252	chr17.3465	chr17	47304686	47305217	+	842		intron (ENST00000575039.1, intron 2 of 2)	protein_coding-intron (ENST00000559488.7, intron 13 of 14)	734	ENST00000576345.2	ENSG00000263293	ENST00000702530			EFCAB13-DT			lncRNA
19261	chr6.969	chr6	20334592	20335079	+	841		promoter-TSS (ENST00000656819.1)	lncRNA-promoter-TSS (ENST00000656819.1)	-424	ENST00000665823.1	ENSG00000287483	ENST00000665823			ENSG00000287483			lncRNA
19277	chr12.2096	chr12	56101074	56102192	+	841		exon (ENST00000267101.8, exon 28 of 28)	protein_coding-exon (ENST00000267101.8, exon 28 of 28)	302	ENST00000548861.2	ENSG00000257411	ENST00000548861			ENSG00000257411			protein_coding
19289	chr12.3610	chr12	110841208	110842174	+	841		exon (ENST00000465069.2, exon 1 of 1)	processed_pseudogene-exon (ENST00000465069.2, exon 1 of 1)	696	ENST00000465069.2	ENSG00000241286	ENST00000465069			RPL29P25			processed_pseudogene
19294	chrX.695	chrX	40056266	40056726	+	841		promoter-TSS (ENST00000672265.1)	protein_coding-promoter-TSS (ENST00000672265.1)	-263	ENST00000672265.1	ENSG00000183337	ENST00000672922			BCOR			protein_coding
19301	chr12.3309	chr12	106348558	106349668	+	840		promoter-TSS (ENST00000702429.1)	lncRNA-promoter-TSS (ENST00000702429.1)	59	ENST00000702429.1	ENSG00000290003	ENST00000702429			ENSG00000290003			lncRNA
19303	chr16.4614	chr16	85784446	85785107	+	840		exon (ENST00000602706.1, exon 1 of 2)	lncRNA-exon (ENST00000602706.1, exon 1 of 2)	394	ENST00000602706.1	ENSG00000270184	ENST00000602706			ENSG00000270184			lncRNA
19305	chr21.895	chr21	43959900	43960720	+	840		TTS (ENST00000448845.1)	protein_coding-TTS (ENST00000448845.1)	521	ENST00000481319.1	ENSG00000160216	ENST00000448287			AGPAT3			protein_coding
19307	chr20.465	chr20	11871164	11872215	+	840		promoter-TSS (ENST00000557899.2)	lncRNA-promoter-TSS (ENST00000557899.2)	333	ENST00000668731.1	ENSG00000228422	ENST00000427835			LINC00687			lncRNA
19332	chr10.2010	chr10	69523450	69524549	+	840		promoter-TSS (ENST00000430550.1)	processed_pseudogene-promoter-TSS (ENST00000430550.1)	-349	ENST00000430550.1	ENSG00000233197	ENST00000430550			TMEM256P1			processed_pseudogene
19347	chr16.2356	chr16	30405768	30407518	+	839		promoter-TSS (ENST00000319296.10)	protein_coding-promoter-TSS (ENST00000319296.10)	-771	ENST00000434417.1	ENSG00000179965	ENST00000566625			ZNF771			protein_coding
19354	chr3.55	chr3	4783056	4783810	+	839		intron (ENST00000649272.1, intron 1 of 2)	protein_coding-intron (ENST00000302640.13, intron 49 of 60)	137	ENST00000649272.1	ENSG00000150995	ENST00000650079			ITPR1			protein_coding
19355	chr7.1827	chr7	43073986	43074543	+	839		promoter-TSS (ENST00000631050.2)	lncRNA-promoter-TSS (ENST00000631050.2)	-860	ENST00000631050.2	ENSG00000232006	ENST00000628203			ENSG00000232006			lncRNA
19368	chr16.5016	chr16	88628187	88628723	+	839		promoter-TSS (ENST00000566317.1)	protein_coding-promoter-TSS (ENST00000566317.1)	-193	ENST00000566317.1	ENSG00000158545	ENST00000569435			ZC3H18			protein_coding
19389	chr11.3920	chr11	70328971	70329617	+	839		promoter-TSS (ENST00000525530.1)	protein_coding-promoter-TSS (ENST00000525530.1)	-599	ENST00000525530.1	ENSG00000131626	ENST00000648755			PPFIA1			protein_coding
19411	chr19.4121	chr19	40349090	40349640	+	839		promoter-TSS (ENST00000392035.6)	protein_coding-promoter-TSS (ENST00000392035.6)	639	ENST00000700625.1	ENSG00000105223	ENST00000599685			PLD3			protein_coding
19413	chr9.2984	chr9	131124282	131124901	+	839		promoter-TSS (ENST00000359428.10)	protein_coding-promoter-TSS (ENST00000359428.10)	-982	ENST00000695495.1	ENSG00000126883	ENST00000498010			NUP214			protein_coding
19415	chr16.1087	chr16	9090755	9091198	+	839		promoter-TSS (ENST00000327827.12)	protein_coding-promoter-TSS (ENST00000327827.12)	-668	ENST00000327827.12	ENSG00000182831	ENST00000327827			C16orf72			protein_coding
19417	chr16.3262	chr16	66510177	66510653	+	839		TTS (ENST00000527284.6)	protein_coding-TTS (ENST00000527284.6)	837	ENST00000568170.1	ENSG00000166548	ENST00000564917			TK2			protein_coding
19427	chr17.1132	chr17	19220526	19221033	+	838		promoter-TSS (ENST00000584707.5)	protein_coding-promoter-TSS (ENST00000584707.5)	-669	ENST00000584707.5	ENSG00000072134	ENST00000395620			EPN2			protein_coding
19440	chr19.3000	chr19	18913171	18913619	+	838		promoter-TSS (ENST00000597026.5)	protein_coding-promoter-TSS (ENST00000597026.5)	-349	ENST00000598969.5	ENSG00000105669	ENST00000600932			COPE			protein_coding
19446	chr2.6066	chr2	200715325	200716304	+	838		exon (ENST00000701746.1, exon 2 of 2)	lncRNA-exon (ENST00000701746.1, exon 2 of 2)	721	ENST00000655127.1	ENSG00000237166	ENST00000655127			LINC01792			lncRNA
19457	chr3.1314	chr3	38008729	38009196	+	838		promoter-TSS (ENST00000417185.6)	protein_coding-promoter-TSS (ENST00000417185.6)	-198	ENST00000495395.1	ENSG00000187091	ENST00000461445			PLCD1			protein_coding
19465	chr1.10861	chr1	203256356	203257004	+	838		TTS (ENST00000412758.2)	processed_pseudogene-TTS (ENST00000412758.2)	937	ENST00000412758.2	ENSG00000236523	ENST00000412758			NPM1P40			processed_pseudogene
19467	chr11.4312	chr11	75099345	75100273	+	838		promoter-TSS (ENST00000526660.5)	protein_coding-promoter-TSS (ENST00000526660.5)	-754	ENST00000526660.5	ENSG00000137491	ENST00000526839			SLCO2B1			protein_coding
19469	chr6.3850	chr6	90319722	90320206	+	838		promoter-TSS (ENST00000650187.1)	lncRNA-promoter-TSS (ENST00000650187.1)	-479	ENST00000650187.1	ENSG00000260271	ENST00000667364			ENSG00000260271			lncRNA
19479	chr12.2209	chr12	57027952	57029138	+	837		TTS (ENST00000300119.8)	protein_coding-TTS (ENST00000300119.8)	338	ENST00000415231.1	ENSG00000166863	ENST00000415231			TAC3			protein_coding
19512	chr15.1729	chr15	66483779	66484236	+	837		promoter-TSS (ENST00000687481.1)	protein_coding-promoter-TSS (ENST00000687481.1)	-875	ENST00000687481.1	ENSG00000169032	ENST00000692683			MAP2K1			protein_coding
19515	chr21.867	chr21	43796714	43797624	+	837		promoter-TSS (ENST00000471909.1)	protein_coding-promoter-TSS (ENST00000471909.1)	-192	ENST00000471909.1	ENSG00000160214	ENST00000483896			RRP1			protein_coding
19530	chr7.1968	chr7	44605079	44606221	+	836		promoter-TSS (ENST00000222673.6)	protein_coding-promoter-TSS (ENST00000222673.6)	-922	ENST00000439616.6	ENSG00000105953	ENST00000447398			OGDH			protein_coding
19536	chr11.1141	chr11	12030675	12031204	+	836		promoter-TSS (ENST00000531559.1)	lncRNA-promoter-TSS (ENST00000531559.1)	64	ENST00000531559.1	ENSG00000254486	ENST00000531559			LINC02547			lncRNA
19538	chr19.4360	chr19	42325080	42325584	+	836		promoter-TSS (ENST00000251268.11)	protein_coding-promoter-TSS (ENST00000251268.11)	-277	ENST00000334370.8	ENSG00000105429	ENST00000251268			MEGF8			protein_coding
19549	chr6.5536	chr6	158641870	158642295	+	836		exon (ENST00000367088.1, exon 1 of 2)	protein_coding-exon (ENST00000367088.1, exon 1 of 2)	706	ENST00000367088.1	ENSG00000146425	ENST00000367089			DYNLT1			protein_coding
19556	chr6.2807	chr6	41545413	41547387	+	836		promoter-TSS (ENST00000307972.10)	protein_coding-promoter-TSS (ENST00000307972.10)	19	ENST00000307972.10	ENSG00000137166	ENST00000307972			FOXP4			protein_coding
